9.966567: 0.094451904296875, 136.88836669921875, 195.81427001953125, 234.2215576171875
9.9999: 28.156036376953125, 139.85006713867188, 204.3670654296875, 235.37750244140625
10.033233: 47.336395263671875, 153.79827880859375, 227.19442749023438, 248.0662841796875
10.066566: 87.03060913085938, 157.32589721679688, 247.57464599609375, 250.775634765625
10.099899: 93.89837646484375, 166.041015625, 265.5554504394531, 247.16656494140625
10.133232: 116.7921142578125, 175.62750244140625, 284.8915710449219, 253.34228515625
10.166565: 129.27285766601562, 182.63287353515625, 301.0168762207031, 260.718017578125
10.199898: 166.18338012695312, 190.65988159179688, 312.2218933105469, 263.1703796386719
10.233231: 182.414306640625, 199.73593139648438, 321.08770751953125, 267.8517761230469
10.266564: 194.80259704589844, 199.5994110107422, 332.13916015625, 273.18243408203125
10.299897: 208.101318359375, 206.42587280273438, 342.83831787109375, 277.3160705566406
10.33323: 217.1346435546875, 219.2196044921875, 350.5152587890625, 288.2467041015625
10.366563: 219.52174377441406, 218.27337646484375, 356.0797119140625, 287.2720947265625
10.399896: 237.1160888671875, 226.5701904296875, 360.5032958984375, 292.31439208984375
10.433229: 248.71231079101562, 230.3488311767578, 361.3849182128906, 296.76177978515625
10.466562: 252.0017547607422, 236.14019775390625, 362.63043212890625, 299.82843017578125
10.499895: 256.8000793457031, 238.92852783203125, 362.2104187011719, 304.0513916015625
10.533228: 259.116943359375, 247.12091064453125, 363.552490234375, 308.08087158203125
10.566561: 260.66876220703125, 247.64447021484375, 360.03729248046875, 311.37860107421875
10.599894: 258.4180908203125, 253.22067260742188, 361.0604248046875, 315.4456481933594
10.633227: 256.83428955078125, 263.079833984375, 355.28155517578125, 317.7545166015625
10.66656: 256.330810546875, 256.54290771484375, 351.36669921875, 322.67755126953125
10.699893: 253.08016967773438, 269.927734375, 347.6441955566406, 328.1588134765625
10.733226: 247.943603515625, 264.3763427734375, 341.47283935546875, 329.36279296875
10.766559: 244.4852294921875, 277.53436279296875, 334.39056396484375, 330.5584716796875
10.799892: 239.41110229492188, 287.39013671875, 327.5434875488281, 331.7022705078125
10.833225: 235.57289123535156, 287.5487060546875, 322.8818359375, 336.059814453125
10.866558: 229.32162475585938, 294.142822265625, 315.4126892089844, 335.8616943359375
10.899891: 225.37493896484375, 292.32745361328125, 309.3682861328125, 337.80364990234375
10.933224: 219.56463623046875, 299.7613830566406, 301.99737548828125, 338.8374938964844
10.966557: 215.11404418945312, 300.2803649902344, 295.8802490234375, 338.0292053222656
